Scenario,PERIOD,Tx_type,MW_Tx,Baseline_Scenario,MW_Tx_baseline,Delta_MW_Tx,Tx_perc_change_from_baseline
HadGEM2-CC,2040,Cumulative New Tx Capacity Built,44542.4541,Baseline no CC,51423.2719,-6880.8178,-0.134
HadGEM2-CC,2045,Cumulative New Tx Capacity Built,51880.9381,Baseline no CC,65374.8299,-13493.8918,-0.206
HadGEM2-CC,2050,Cumulative New Tx Capacity Built,63919.0871,Baseline no CC,84026.9929,-20107.9058,-0.239
HadGEM2-ES,2030,Cumulative New Tx Capacity Built,7354.2152,Baseline no CC,8720.105,-1365.8898,-0.157
HadGEM2-ES,2035,Cumulative New Tx Capacity Built,11183.9152,Baseline no CC,20277.885,-9093.9698,-0.448
HadGEM2-ES,2040,Cumulative New Tx Capacity Built,38147.2112,Baseline no CC,51423.2719,-13276.0607,-0.258
HadGEM2-ES,2045,Cumulative New Tx Capacity Built,65068.0512,Baseline no CC,65374.8299,-306.7787,-0.005
HadGEM2-ES,2050,Cumulative New Tx Capacity Built,75589.9712,Baseline no CC,84026.9929,-8437.0217,-0.1
MIROC5,2030,Cumulative New Tx Capacity Built,5177.61,Baseline no CC,8720.105,-3542.495,-0.406
MIROC5,2035,Cumulative New Tx Capacity Built,13637.71885,Baseline no CC,20277.885,-6640.16615,-0.327
MIROC5,2040,Cumulative New Tx Capacity Built,54413.00485,Baseline no CC,51423.2719,2989.73295,0.058
MIROC5,2045,Cumulative New Tx Capacity Built,72553.27485,Baseline no CC,65374.8299,7178.44495,0.11
MIROC5,2050,Cumulative New Tx Capacity Built,96631.41285,Baseline no CC,84026.9929,12604.41995,0.15
MPI-ESM-LR,2030,Cumulative New Tx Capacity Built,5044.140019,Baseline no CC,8720.105,-3675.964981,-0.422
MPI-ESM-LR,2035,Cumulative New Tx Capacity Built,9965.870019,Baseline no CC,20277.885,-10312.01498,-0.509
MPI-ESM-LR,2040,Cumulative New Tx Capacity Built,39515.82003,Baseline no CC,51423.2719,-11907.45187,-0.232
MPI-ESM-LR,2045,Cumulative New Tx Capacity Built,56705.84104,Baseline no CC,65374.8299,-8668.988856,-0.133
MPI-ESM-LR,2050,Cumulative New Tx Capacity Built,78025.77006,Baseline no CC,84026.9929,-6001.222843,-0.071
bcc-csm1-1,2030,Cumulative New Tx Capacity Built,9883.57,Baseline no CC,8720.105,1163.465,0.133
bcc-csm1-1,2035,Cumulative New Tx Capacity Built,18598.41,Baseline no CC,20277.885,-1679.475,-0.083
bcc-csm1-1,2040,Cumulative New Tx Capacity Built,39227.7721,Baseline no CC,51423.2719,-12195.4998,-0.237
bcc-csm1-1,2045,Cumulative New Tx Capacity Built,73056.2521,Baseline no CC,65374.8299,7681.4222,0.117
bcc-csm1-1,2050,Cumulative New Tx Capacity Built,87123.9021,Baseline no CC,84026.9929,3096.9092,0.037
ACCESS-1.0,2030,Existing Tx Capacity,397134.945,Baseline no CC,397134.995,-0.05,0
ACCESS-1.0,2035,Existing Tx Capacity,400828.925,Baseline no CC,405855.11,-5026.185,-0.012
ACCESS-1.0,2040,Existing Tx Capacity,419128.021,Baseline no CC,417412.8031,1715.2179,0.004
ACCESS-1.0,2045,Existing Tx Capacity,437758.637,Baseline no CC,448557.992,-10799.355,-0.024
ACCESS-1.0,2050,Existing Tx Capacity,455924.814,Baseline no CC,462510.427,-6585.613,-0.014
CCSM,2030,Existing Tx Capacity,397135,Baseline no CC,397134.995,0.005,0
CCSM,2035,Existing Tx Capacity,403234.5255,Baseline no CC,405855.11,-2620.584525,-0.006
CCSM,2040,Existing Tx Capacity,413366.1983,Baseline no CC,417412.8031,-4046.604834,-0.01
CCSM,2045,Existing Tx Capacity,448420.2506,Baseline no CC,448557.992,-137.7413588,0
CCSM,2050,Existing Tx Capacity,462365.8807,Baseline no CC,462510.427,-144.5462817,0
CESM1-BGC,2030,Existing Tx Capacity,397134.9979,Baseline no CC,397134.995,0.002866934,0
CESM1-BGC,2035,Existing Tx Capacity,406313.3243,Baseline no CC,405855.11,458.2143059,0.001
CESM1-BGC,2040,Existing Tx Capacity,414913.6834,Baseline no CC,417412.8031,-2499.119666,-0.006
CESM1-BGC,2045,Existing Tx Capacity,433572.2388,Baseline no CC,448557.992,-14985.75325,-0.033
CESM1-BGC,2050,Existing Tx Capacity,471266.8932,Baseline no CC,462510.427,8756.466171,0.019
CESM1-CAM5,2030,Existing Tx Capacity,397134.999,Baseline no CC,397134.995,0.004,0
