"load_zone","ts_period","energy_category","Energy_GWh_typical_yr","Scenario","Energy_GWh_typical_yr_Baseline","Baseline_Scenario","Delta_AnnualGen_GWh","AnnualGen_perc_change_from_baseline","climate_impacts_included","energy_category_disagg"
"AZ_APS_N",2035,"zone_demand_GWh",8513.77993,"GFDL-CM3",8476.34072,"Baseline no CC",37.4392100000005,0.004,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2035,"zone_demand_GWh",8508.48186,"GFDL-ESM2M",8476.34072,"Baseline no CC",32.1411399999997,0.004,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2035,"zone_demand_GWh",8534.75818,"HadGEM2-CC",8476.34072,"Baseline no CC",58.4174599999988,0.007,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2035,"zone_demand_GWh",8529.88926,"HadGEM2-ES",8476.34072,"Baseline no CC",53.5485399999998,0.006,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2035,"zone_demand_GWh",8524.06847,"MIROC5",8476.34072,"Baseline no CC",47.72775,0.006,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2035,"zone_demand_GWh",8528.99626,"MPI-ESM-LR",8476.34072,"Baseline no CC",52.6555399999997,0.006,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2035,"zone_demand_GWh",8529.04685,"bcc-csm1-1",8476.34072,"Baseline no CC",52.7061299999987,0.006,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2040,"zone_demand_GWh",9196.95082,"ACCESS-1.0",9137.69277,"Baseline no CC",59.2580500000004,0.006,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2040,"zone_demand_GWh",9186.58443,"CCSM",9137.69277,"Baseline no CC",48.8916599999993,0.005,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2040,"zone_demand_GWh",9155.94691,"CESM1-BGC",9137.69277,"Baseline no CC",18.2541400000009,0.002,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2040,"zone_demand_GWh",9181.86946,"CESM1-CAM5",9137.69277,"Baseline no CC",44.1766900000021,0.005,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2040,"zone_demand_GWh",9200.51349,"CMCC-CM",9137.69277,"Baseline no CC",62.8207199999997,0.007,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2040,"zone_demand_GWh",9190.86691,"CMCC-CMS",9137.69277,"Baseline no CC",53.174140000001,0.006,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2040,"zone_demand_GWh",9140.44404,"CNRM-CM5",9137.69277,"Baseline no CC",2.75126999999884,0,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2040,"zone_demand_GWh",9187.96682,"CanESM",9137.69277,"Baseline no CC",50.27405,0.006,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2040,"zone_demand_GWh",9180.25256,"GFDL-CM3",9137.69277,"Baseline no CC",42.5597900000012,0.005,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2040,"zone_demand_GWh",9179.30087,"GFDL-ESM2M",9137.69277,"Baseline no CC",41.6080999999995,0.005,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2040,"zone_demand_GWh",9195.6196,"HadGEM2-CC",9137.69277,"Baseline no CC",57.9268300000003,0.006,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2040,"zone_demand_GWh",9192.01609,"HadGEM2-ES",9137.69277,"Baseline no CC",54.3233199999995,0.006,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2040,"zone_demand_GWh",9188.84145,"MIROC5",9137.69277,"Baseline no CC",51.1486800000002,0.006,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2040,"zone_demand_GWh",9188.95451,"MPI-ESM-LR",9137.69277,"Baseline no CC",51.2617399999999,0.006,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2040,"zone_demand_GWh",9189.3165,"bcc-csm1-1",9137.69277,"Baseline no CC",51.6237300000012,0.006,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2045,"zone_demand_GWh",9625.32543,"ACCESS-1.0",9575.62206,"Baseline no CC",49.7033699999993,0.005,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2045,"zone_demand_GWh",9612.4055,"CCSM",9575.62206,"Baseline no CC",36.7834400000011,0.004,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2045,"zone_demand_GWh",9586.17429,"CESM1-BGC",9575.62206,"Baseline no CC",10.5522299999993,0.001,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2045,"zone_demand_GWh",9604.07304,"CESM1-CAM5",9575.62206,"Baseline no CC",28.4509799999996,0.003,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2045,"zone_demand_GWh",9627.51565,"CMCC-CM",9575.62206,"Baseline no CC",51.8935900000015,0.005,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2045,"zone_demand_GWh",9619.39637,"CMCC-CMS",9575.62206,"Baseline no CC",43.7743099999989,0.005,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2045,"zone_demand_GWh",9568.53715,"CNRM-CM5",9575.62206,"Baseline no CC",-7.08490999999958,-0.001,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2045,"zone_demand_GWh",9607.16293,"CanESM",9575.62206,"Baseline no CC",31.5408700000007,0.003,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2045,"zone_demand_GWh",9614.37107,"GFDL-CM3",9575.62206,"Baseline no CC",38.7490100000014,0.004,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2045,"zone_demand_GWh",9589.31402,"GFDL-ESM2M",9575.62206,"Baseline no CC",13.6919600000001,0.001,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2045,"zone_demand_GWh",9618.33509,"HadGEM2-CC",9575.62206,"Baseline no CC",42.7130300000008,0.004,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2045,"zone_demand_GWh",9619.56774,"HadGEM2-ES",9575.62206,"Baseline no CC",43.9456800000007,0.005,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2045,"zone_demand_GWh",9615.84073,"MIROC5",9575.62206,"Baseline no CC",40.2186700000002,0.004,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2045,"zone_demand_GWh",9616.48095,"MPI-ESM-LR",9575.62206,"Baseline no CC",40.8588899999995,0.004,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2045,"zone_demand_GWh",9613.94802,"bcc-csm1-1",9575.62206,"Baseline no CC",38.3259600000001,0.004,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2050,"zone_demand_GWh",10051.21318,"ACCESS-1.0",10021.22953,"Baseline no CC",29.9836500000001,0.003,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2050,"zone_demand_GWh",10042.16375,"CCSM",10021.22953,"Baseline no CC",20.934220000001,0.002,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2050,"zone_demand_GWh",10030.72549,"CESM1-BGC",10021.22953,"Baseline no CC",9.49596000000201,0.001,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2050,"zone_demand_GWh",10030.13156,"CESM1-CAM5",10021.22953,"Baseline no CC",8.9020300000011,0.001,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2050,"zone_demand_GWh",10058.68857,"CMCC-CM",10021.22953,"Baseline no CC",37.4590400000016,0.004,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2050,"zone_demand_GWh",10049.23032,"CMCC-CMS",10021.22953,"Baseline no CC",28.0007900000019,0.003,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2050,"zone_demand_GWh",9993.86976,"CNRM-CM5",10021.22953,"Baseline no CC",-27.3597699999991,-0.003,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2050,"zone_demand_GWh",10026.7123,"CanESM",10021.22953,"Baseline no CC",5.48277000000235,0.001,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2050,"zone_demand_GWh",10042.8,"GFDL-CM3",10021.22953,"Baseline no CC",21.5704700000006,0.002,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2050,"zone_demand_GWh",9994.94954,"GFDL-ESM2M",10021.22953,"Baseline no CC",-26.2799899999991,-0.003,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2050,"zone_demand_GWh",10040.72935,"HadGEM2-CC",10021.22953,"Baseline no CC",19.4998200000009,0.002,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2050,"zone_demand_GWh",10048.82288,"HadGEM2-ES",10021.22953,"Baseline no CC",27.5933500000028,0.003,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2050,"zone_demand_GWh",10044.70563,"MIROC5",10021.22953,"Baseline no CC",23.4761000000017,0.002,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2050,"zone_demand_GWh",10043.36707,"MPI-ESM-LR",10021.22953,"Baseline no CC",22.1375400000015,0.002,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2050,"zone_demand_GWh",10039.13551,"bcc-csm1-1",10021.22953,"Baseline no CC",17.9059800000014,0.002,"Hydropower and Water Load Scenarios","Water Load"
